region,street,housenumber,city,postcode,lat,lon
Abruzzo,Via Verdi,20,Abruzzo,50206,42.47850825919523,13.56970141593717
Abruzzo,Via Roma,78,Abruzzo,96765,42.57330173485282,13.442410679316065
Abruzzo,Via Trieste,35,Abruzzo,61461,42.12459129230521,14.647515553766533
Abruzzo,Via Leopardi,5,Abruzzo,54223,42.40032431143667,14.01084991384847
Abruzzo,Via Vittorio Veneto,27,Abruzzo,36893,42.1780471516688,13.587601065136285
Abruzzo,Via Leopardi,116,Abruzzo,44039,42.53741026463839,13.99057040605421
Abruzzo,Via Galilei,74,Abruzzo,82885,42.113189699096225,14.391114830530654
Abruzzo,Via Leopardi,66,Abruzzo,89149,42.06672799638774,13.307024869163293
Abruzzo,Via Nazionale,104,Abruzzo,10560,41.82855843178302,13.828740457807612
Abruzzo,Via Trieste,103,Abruzzo,89033,42.43704410459434,13.878333309565834
Abruzzo,Via Dante,172,Abruzzo,20527,41.97293883596391,14.62157962625354
Abruzzo,Piazza Duomo,176,Abruzzo,59555,41.93466538371277,13.420504603347505
Abruzzo,Piazza Garibaldi,31,Abruzzo,96201,42.34679908442205,13.961559544326368
Abruzzo,Via Verdi,74,Abruzzo,66422,42.53619308816294,13.225624534177031
Abruzzo,Corso Umberto,161,Abruzzo,62877,42.19194079190304,14.6414867392041
Abruzzo,Corso Umberto,175,Abruzzo,65702,42.31577550233316,14.07080941508774
Abruzzo,Piazza Duomo,134,Abruzzo,83760,42.10381817725909,14.50032605382581
Abruzzo,Via Colombo,40,Abruzzo,19632,42.227103095281144,13.928054907266153
Abruzzo,Via Cavour,100,Abruzzo,73751,41.91905102835603,14.051280455899526
Abruzzo,Via Gramsci,58,Abruzzo,83054,42.712601297195306,13.617916458024988
Abruzzo,Corso Italia,182,Abruzzo,98517,41.90626091352134,13.467927206645218
Abruzzo,Via Kennedy,183,Abruzzo,92126,41.93662429815802,14.624754901373835
Abruzzo,Via XX Settembre,169,Abruzzo,24588,42.23738526470105,14.022899088507279
Abruzzo,Via Verdi,142,Abruzzo,71196,42.78873382885792,13.860359829550585
Abruzzo,Corso Umberto,105,Abruzzo,77775,42.04363781205794,13.293876166705523
Abruzzo,Via Nazionale,167,Abruzzo,91832,42.62261814891393,13.546111371286848
Abruzzo,Via Vittorio Veneto,117,Abruzzo,68305,42.09714563788604,13.69081650810905
Abruzzo,Via Mazzini,155,Abruzzo,81075,42.002201434446604,13.333817231239244
Abruzzo,Via XX Settembre,22,Abruzzo,84675,41.95933440481771,13.563486925881389
Abruzzo,Via Garibaldi,160,Abruzzo,11096,42.180361817414486,14.398946948467131
Abruzzo,Corso Vittorio Emanuele,16,Abruzzo,18407,42.6740373818916,13.532873916150633
Abruzzo,Via Roma,117,Abruzzo,36362,41.98862872271124,14.129372381355667
Abruzzo,Corso Italia,150,Abruzzo,81022,42.407211396891164,13.83130083580052
Abruzzo,Corso Vittorio Emanuele,139,Abruzzo,57190,41.92817359040054,13.876578836996105
Abruzzo,Corso Italia,108,Abruzzo,84280,42.082845983267966,14.183107291122628
Abruzzo,Via Matteotti,168,Abruzzo,73542,41.93866698865421,13.992840166155768
Abruzzo,Via XX Settembre,129,Abruzzo,98326,42.0133010069263,13.644281266511104
Abruzzo,Via XX Settembre,157,Abruzzo,92121,42.20529219727849,13.911458159126177
Abruzzo,Via Bellini,1,Abruzzo,80291,42.59650321162131,13.977193714981025
Abruzzo,Via Kennedy,173,Abruzzo,29047,41.99068810775103,13.74719475689297
Abruzzo,Piazza Duomo,134,Abruzzo,33897,41.984404742551156,14.112890797977446
Abruzzo,Via Matteotti,133,Abruzzo,43229,42.583580402252565,13.195175572428
Abruzzo,Via Verdi,186,Abruzzo,61884,42.409601986191596,14.132241491061952
Abruzzo,Via Galilei,152,Abruzzo,75579,41.83209651627601,13.659844444658718
Abruzzo,Via Garibaldi,53,Abruzzo,23046,42.427692596914426,13.978297021614893
Abruzzo,Via XX Settembre,142,Abruzzo,80378,42.63114132968877,13.85536062015096
Abruzzo,Via Verdi,177,Abruzzo,47433,42.316024043758155,14.409012696996426
Abruzzo,Via Verdi,186,Abruzzo,27264,41.95658798848352,14.399900134424438
Abruzzo,Via XX Settembre,132,Abruzzo,95503,42.71516934706044,13.560606824700253
Abruzzo,Via Roma,174,Abruzzo,84258,42.32981460715203,13.516732580252574
Abruzzo,Via Trieste,19,Abruzzo,76419,42.12770009050214,14.230487447747073
Abruzzo,Via Manzoni,112,Abruzzo,49414,42.12744648967427,14.089857065273428
Abruzzo,Via Vittorio Veneto,24,Abruzzo,46830,42.48094853561144,13.43310722303349
Abruzzo,Piazza Garibaldi,102,Abruzzo,87927,41.77919950663922,13.567982250559004
Abruzzo,Via Verdi,74,Abruzzo,19050,41.814942533574786,13.520404484374259
Abruzzo,Via Galilei,88,Abruzzo,64151,42.36384561797311,14.252794737322137
Abruzzo,Via Verdi,169,Abruzzo,22171,42.1923288043704,14.617685839663583
Abruzzo,Via Dante,153,Abruzzo,33562,42.522028857874965,13.681414943992891
Abruzzo,Via Manzoni,139,Abruzzo,80919,42.83073992241933,13.912757235527843
Abruzzo,Corso Umberto,11,Abruzzo,15232,42.36193353337462,13.355383510556488
Abruzzo,Via Gramsci,42,Abruzzo,14647,42.57362707097892,13.669253061768885
Abruzzo,Via Trieste,101,Abruzzo,86068,42.1012980516434,14.491410420859705
Abruzzo,Via Bellini,70,Abruzzo,25132,42.15281193542056,13.188330771108935
Abruzzo,Via Nazionale,153,Abruzzo,64470,42.38702502973938,13.234535100680358
Abruzzo,Via XX Settembre,109,Abruzzo,76583,42.34383344325475,13.783513185062672
Abruzzo,Via Leopardi,117,Abruzzo,35760,42.26716644789009,13.800742127217339
Abruzzo,Via Manzoni,184,Abruzzo,10097,42.757481966953534,13.834115750705548
Abruzzo,Corso Italia,64,Abruzzo,62568,42.55477819288752,13.266240134018366
Abruzzo,Via Vittorio Veneto,48,Abruzzo,67430,42.119665713898605,14.649628431496533
Abruzzo,Piazza Garibaldi,150,Abruzzo,35903,42.08460684329619,14.626759067119748
Abruzzo,Via Pascoli,54,Abruzzo,53028,41.94601118972414,14.065302311600636
Abruzzo,Via Leopardi,184,Abruzzo,12493,41.83655068677883,13.660126978815166
Abruzzo,Via Bellini,127,Abruzzo,42469,41.780991864311304,14.470257306025985
Abruzzo,Via Garibaldi,103,Abruzzo,87464,42.42105349636659,13.323608461014858
Abruzzo,Via Trieste,92,Abruzzo,52707,41.8803498185794,13.569580509952376
Abruzzo,Via Pascoli,94,Abruzzo,17916,42.85563227577845,13.784269840238954
Abruzzo,Piazza Duomo,161,Abruzzo,14692,42.01803148274069,14.029172668095367
Abruzzo,Via Colombo,107,Abruzzo,67067,42.13441173712528,14.063290009711523
Abruzzo,Via Manzoni,81,Abruzzo,20773,42.64006858019128,13.607939431803178
Abruzzo,Via Garibaldi,58,Abruzzo,61685,42.0304913943337,14.257973828395734
Abruzzo,Via Mazzini,67,Abruzzo,51384,42.16746771158814,13.69276331603194
Abruzzo,Corso Vittorio Emanuele,110,Abruzzo,32132,42.49235439714864,13.438964941710887
Abruzzo,Via Gramsci,137,Abruzzo,74731,42.32479374139147,13.79629398191437
Abruzzo,Via Cavour,29,Abruzzo,58326,41.79425021919188,14.490641935616871
Abruzzo,Via Gramsci,73,Abruzzo,50496,42.48575837434553,13.870919284955233
Abruzzo,Via Pascoli,64,Abruzzo,84269,42.40938586593619,13.629356214228299
Abruzzo,Piazza Duomo,167,Abruzzo,66210,42.192415397668746,13.450858134473057
Abruzzo,Via Marconi,120,Abruzzo,46323,41.78615244989864,13.821777503395676
Abruzzo,Via Bellini,42,Abruzzo,22691,42.39495752897877,14.318760252695082
Abruzzo,Via Kennedy,197,Abruzzo,24244,42.430512251831715,13.198805571939856
Abruzzo,Via Mazzini,183,Abruzzo,94039,42.07968843764957,14.444490090104846
Abruzzo,Via Leopardi,125,Abruzzo,88155,41.80017772712232,13.68649110115857
Abruzzo,Via Colombo,153,Abruzzo,58554,41.98414667300598,13.344688472299186
Abruzzo,Via Manzoni,12,Abruzzo,64141,42.26055624594208,13.812725825329947
Abruzzo,Via Garibaldi,65,Abruzzo,31542,42.10436449597389,14.17239023813572
Abruzzo,Via Galilei,61,Abruzzo,57419,42.44098591017587,13.160116980941913
Abruzzo,Corso Italia,80,Abruzzo,55985,42.719836695111916,13.867356695044883
Abruzzo,Via Cavour,119,Abruzzo,94146,42.23433391186653,13.986813455126986
Abruzzo,Via Trieste,196,Abruzzo,45148,42.08337833028164,13.57801183110631
Abruzzo,Via Verdi,11,Abruzzo,74026,42.189118357981755,13.951465243751054
Abruzzo,Via Roma,177,Abruzzo,85732,42.62307237672979,13.65195917187648
Abruzzo,Via Gramsci,156,Abruzzo,24460,42.26233654497872,14.116814739321434
Abruzzo,Via Vittorio Veneto,65,Abruzzo,36706,42.527771440037824,13.557077713709479
Abruzzo,Via Vittorio Veneto,73,Abruzzo,36706,41.854598071901094,14.575749285771666
Abruzzo,Via Gramsci,59,Abruzzo,46464,41.927289597870114,14.649462881054486
Abruzzo,Corso Umberto,142,Abruzzo,78064,42.305067480942284,14.207756333869249
Abruzzo,Via Bellini,3,Abruzzo,94626,42.36377267576079,14.126786516932105
Abruzzo,Piazza Garibaldi,62,Abruzzo,22304,42.37600291229223,13.835315409687029
Abruzzo,Via Matteotti,19,Abruzzo,11172,41.9774293048098,13.93110025750781
Abruzzo,Via Matteotti,59,Abruzzo,83667,42.672715067349976,13.660881291913647
Abruzzo,Corso Vittorio Emanuele,49,Abruzzo,41110,42.06652854162303,14.100936493435048
Abruzzo,Via Marconi,200,Abruzzo,83607,42.284805782348116,14.385292306179718
Abruzzo,Via XX Settembre,150,Abruzzo,48779,42.091960752380395,14.125736469561382
Abruzzo,Via Manzoni,27,Abruzzo,94545,42.504100587195815,13.607788065702279
Abruzzo,Via Dante,5,Abruzzo,89431,41.87794212174126,13.41961501682096
Abruzzo,Via Galilei,33,Abruzzo,38421,42.41212044847589,13.200665335978423
Abruzzo,Via Cavour,121,Abruzzo,22464,42.50905820560291,13.912579502518748
Abruzzo,Via Dante,75,Abruzzo,11646,42.48205257347803,14.037348439009914
Abruzzo,Via Manzoni,62,Abruzzo,61494,41.970066905588176,14.140252518132575
